Gene	Symbol	Description At Homolog	
Zm00001d000046	cbl9	calcineurin B-like9	AT5G47100,AT4G17615
Zm00001d000052		Casein kinase II subunit beta-1	
Zm00001d000053		Histone H3 K4-specific methyltransferase SET7/9 family protein	AT4G17080,AT2G35170
Zm00001d000055	brl2	bri1-like receptor kinase2	AT2G01950
Zm00001d000058		CRIB domain-containing protein RIC10	
Zm00001d000060		NAD(P)-linked oxidoreductase superfamily protein	
Zm00001d000061		GDSL esterase/lipase	
Zm00001d000064		Glycine cleavage system H protein 2 mitochondrial	
Zm00001d000067		Serine--tRNA ligase cytoplasmic	
Zm00001d000070		Protein PLANT CADMIUM RESISTANCE 12	
Zm00001d000071		Protein NRT1/ PTR FAMILY 8.3	
Zm00001d000072		Protein NRT1/ PTR FAMILY 8.3	
Zm00001d000074		Transducin/WD40 repeat-like superfamily protein	AT5G54520
Zm00001d000076		Pentatricopeptide repeat-containing protein	
Zm00001d000077	osca1	hyperosmolality-gated calcium-permeable channels1	
Zm00001d000079		Coatomer subunit epsilon-1	
Zm00001d000080	cipk8	calcineurin B-like-interacting protein kinase8	AT4G24400
Zm00001d000081		Serine/threonine-protein kinase RUNKEL	
Zm00001d000085		transferases transferring hexosyl groups	AT1G11880
Zm00001d000086		RNA-binding (RRM/RBD/RNP motifs) family protein	
Zm00001d000087		Pentatricopeptide repeat-containing protein	AT5G65560
Zm00001d000089		Boron transporter 4	
Zm00001d000092		 protein; Expressed protein	AT3G52710,AT2G36220
Zm00001d000093		Pentatricopeptide repeat-containing protein  mitochondrial	AT1G22960
Zm00001d000094		ACT domain-containing protein ACR12	AT5G04740
Zm00001d000095		9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic	
Zm00001d000097		Polyadenylate-binding protein-interacting protein 10	
Zm00001d000098		Probable protein phosphatase 2C 12	
Zm00001d000099		Beta-13-galactosyltransferase 7	
Zm00001d000104		40S ribosomal protein S14-3	
Zm00001d000106		late embryogenesis abundant protein	
Zm00001d000107		Fatty acyl-CoA reductase 1	AT3G44550,AT3G44560,AT4G33790,AT5G22500,AT3G44540
Zm00001d000109		hAT transposon superfamily protein	
Zm00001d000110	mybr61	MYB-related-transcription factor 61	AT1G21700
Zm00001d000112	nactf125	NAC-transcription factor 125	
Zm00001d000115		Probable protein phosphatase 2C 33	
Zm00001d000116	aldh14	aldehyde dehydrogenase14	AT4G34240,AT1G44170
Zm00001d000117		Glucan endo-13-beta-glucosidase 14	
Zm00001d000118		rRNA processing protein-related	
Zm00001d000120	mch2	maize CRY1 homolog2	AT3G52580,AT2G36160,AT3G11510
Zm00001d000121		40S ribosomal protein S4-3	
Zm00001d000122		forkhead-associated domain-containing protein / FHA domain-containing protein	AT5G07400
Zm00001d000123		NAD(P)-binding Rossmann-fold superfamily protein	AT1G32220
Zm00001d000124	pco077834a	Probable protein phosphatase 2C 40	AT3G16560
Zm00001d000126		OSJNBb0118P14.9 protein; Os04g0403901 protein	
Zm00001d000133		Acetyl-coenzyme A synthetase chloroplastic/glyoxysomal	
Zm00001d000134		OSJNBa0020I02.16 protein	
Zm00001d000135		Late embryogenesis abundant protein (LEA) family protein	
Zm00001d000137	smk9	small kernel9	AT3G16890
Zm00001d000143		 protein; Expressed protein	AT3G29180,AT5G39430
Zm00001d000150		Transducin/WD40 repeat-like superfamily protein	AT5G54520
Zm00001d000152		Pentatricopeptide repeat-containing protein	AT5G65560
Zm00001d000153		Diaminopimelate decarboxylase 2 chloroplastic	AT5G11880,AT3G14390
Zm00001d000154		 protein; Expressed protein	AT3G52710,AT2G36220
Zm00001d000156		Vesicle-fusing ATPase	
Zm00001d000157		9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic	
Zm00001d000158		Putative ankyrin repeat domain family protein	
Zm00001d000159		60S ribosomal protein L11-2	
Zm00001d000160		Transducin/WD40 repeat-like superfamily protein	
Zm00001d000161	betl4	basal endosperm transfer layer4	
Zm00001d000163		1-aminocyclopropane-1-carboxylate oxidase	
Zm00001d000164		Phosphoribulokinase chloroplastic	AT1G32060
Zm00001d000165		Bromodomain transcription factor	AT1G31240
Zm00001d000166		Tudor/PWWP/MBT superfamily protein	AT3G03140
Zm00001d000168	cdc201	cell division cycle201	AT5G26900,AT5G27570,AT4G33260,AT4G33270,AT5G27080
Zm00001d000169	mpkl2	MAP kinase-like2	AT4G19110,AT5G45430
Zm00001d000170		SRR1-like protein	AT5G59560
Zm00001d000175		Has 35333 Blast hits to 34131 proteins in 2444 species: Archa /.../8; Viruses - 0; BEST Arabidopsis thaliana protein match is: FORKED 1 (TAIR:AT3G63300.1); Plants - 531; CONTAINS InterPro DOMAIN/s: Pleckstrin-like plant (InterPro:IPR013666) Pleckstrin homology (InterPro:IPR001849); Bacteria - 22429; Metazoa - 974; Fungi - 991; Other Eukaryotes - 9610 (source: NCBI BLink).	AT4G16670,AT4G17350,AT5G47440
Zm00001d000176	cct2	CO CO-LIKE TIMING OF CAB1 protein domain2	
Zm00001d000178	atg3	autophagy3	AT5G61500
Zm00001d000179	dbf2	DRE-binding protein 2	AT2G35700,AT4G16750
Zm00001d000180		8-amino-7-oxononanoate synthase	
Zm00001d000183	mstr4	monosaccharide transporter4	
Zm00001d000184	mybst1	single-repeat Myb protein1	AT5G47390
Zm00001d000185		OSJNBa0016N04.12 protein	
Zm00001d000189		MDIS1-interacting receptor like kinase 2	
Zm00001d000191	upl11	ubiquitin-protein ligase11	
Zm00001d000194		Glycine-rich protein family	
Zm00001d000195		Putative MATE efflux family protein	
Zm00001d000196		Putative MATE efflux family protein	
Zm00001d000197		DUF3511 domain protein	AT3G62640,AT2G47480
Zm00001d000199		Nicotinamide adenine dinucleotide transporter 1 chloroplastic	AT2G47490
Zm00001d000202		Charged multivesicular body protein 2a	AT5G44560
Zm00001d000203		Patatin-like protein 6	
Zm00001d000204	sfp5	sulfate transporter5	AT3G15990
Zm00001d000205		Carboxypeptidase SOL1	AT1G71696
Zm00001d000213		Putative translation elongation factor family protein	AT5G39900
Zm00001d000216	mgs3	male gametophyte specific3	AT2G02720,AT1G14420
Zm00001d000219		Phytochrome B	
Zm00001d000220		Pentatricopeptide repeat protein PPR868-14	AT3G21470
Zm00001d000222	sweet1a	sugars will eventually be exported transporter1a	
Zm00001d000223		DNA repair metallo-beta-lactamase family protein	
Zm00001d000224		F-box protein SKP2A	AT1G77000,AT1G21410
Zm00001d000226		ubiquitin-specific protease 7	
Zm00001d000227		Pyruvate dehydrogenase E1 component subunit beta	AT1G30120,AT2G34590
Zm00001d000230		Protease Do-like 5 chloroplastic	AT4G18370
Zm00001d000231		PIF1 helicase	
Zm00001d000233		Cation/H(+) antiporter 19	
Zm00001d000235		Peptidyl-prolyl cis-trans isomerase FKBP17-2 chloroplastic	
Zm00001d000236	b1	colored plant1	AT4G00480,AT1G63650,AT5G41315
Zm00001d000237	czog1	cis-zeatin O-glucosyltransferase1	
Zm00001d000238	grftf12	GRF-transcription factor 12	AT3G13960
Zm00001d000240		Transcription initiation factor IIF beta subunit	AT1G75510
Zm00001d000241		Single-stranded DNA-binding protein mitochondrial	AT4G11060
Zm00001d000242		 protein; Expressed protein	
Zm00001d000247	hb17	Homeobox-transcription factor 17	AT4G04890,AT4G21750
Zm00001d000250		 protein; Expressed protein	
Zm00001d000254		Nonsense-mediated mRNA decay protein 2 isoform 2	
Zm00001d000256	cal6	calmodulin6	AT4G26470
Zm00001d000257		Transmembrane CLPTM1 family protein	
Zm00001d000260		Photosystem II D2 protein	
Zm00001d000270		DNA-directed RNA polymerase subunit beta	
Zm00001d000272		Photosystem I P700 chlorophyll a apoprotein A2	
Zm00001d000277		ATP synthase subunit beta chloroplastic	ATCG00480
Zm00001d000279		Ribulose bisphosphate carboxylase large chain	ATCG00490
Zm00001d000282		Photosystem II CP47 reaction center protein	
Zm00001d000288	iaa25	Aux/IAA-transcription factor 25	
Zm00001d000291	bhlh88	bHLH-transcription factor 88	AT2G24260,AT4G30980
Zm00001d000293		Zinc finger protein 346	
Zm00001d000294		O-succinylhomoserine sulfhydrylase	AT1G64660
Zm00001d000295		Heat shock 70 kDa protein 10 mitochondrial	
Zm00001d000296		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
Zm00001d000297		B12D protein	
Zm00001d000298		BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1	
Zm00001d000299		Endosomal targeting BRO1-like domain-containing protein	AT5G14020
Zm00001d000300	eif5	eucaryotic translation initiation factor5	AT1G36730
Zm00001d000301		exocyst subunit exo70 family protein G1	AT4G31540
Zm00001d000302	gpm803b	Probable protein phosphatase 2C 59	
Zm00001d000303	hb24	Homeobox-transcription factor 24	
Zm00001d000305		Disulfide oxidoreductase/ electron carrier/ oxidoreductase	AT3G44190,AT5G22140
Zm00001d000306		Adagio protein 1	
Zm00001d000308		F-box domain containing protein expressed	
Zm00001d000310		Protein LURP-one-related 5	AT3G15810,AT1G80120
Zm00001d000311		Outer membrane OMP85 family protein	AT3G44160
Zm00001d000312		Ubiquitin carboxyl-terminal hydrolase 25	
Zm00001d000313		Ubiquitin carboxyl-terminal hydrolase 25	
Zm00001d000314		F-box protein	AT1G30200,AT5G46170,AT4G18380
Zm00001d000316	me3	NADP malic enzyme3	
Zm00001d000318		Trigger factor-like protein TIG Chloroplastic	
Zm00001d000325		Tetratricopeptide repeat-like superfamily protein	
Zm00001d000327		Cysteine protease 1	
Zm00001d000328		Protein SIEL	
Zm00001d000329		DNA mismatch repair protein MSH5	
Zm00001d000330		Retrotransposon-like protein	
Zm00001d000332		Per1-like family protein	
Zm00001d000337		(+)-delta-cadinene synthase isozyme C2	
Zm00001d000339	ereb92	AP2-EREBP-transcription factor 92	
Zm00001d000344		Purple acid phosphatase 3	
Zm00001d000346		Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	AT5G57610
Zm00001d000349		Preprotein translocase subunit SCY1 chloroplastic	AT2G18710
Zm00001d000350	csy1	chloroplast SecY-1	AT2G18710
Zm00001d000354	pgl9	exopolygalacturonase9	AT3G07840,AT3G07850,AT5G48140,AT3G14040,AT3G07820,AT3G07830
Zm00001d000355		Pectin lyase-like superfamily protein	
Zm00001d000357		Fatty-acid-binding protein 2	AT2G26310
Zm00001d000358	arftf21	ARF-transcription factor 21	AT4G30080
Zm00001d000360		Protein SRG1	AT1G66290,AT1G66640,AT1G66300,AT1G66310,AT1G69630,AT1G80470,AT1G78840,AT1G66320,AT1G78750,AT1G78740,AT1G16940,AT4G13985,AT1G60400,AT1G78760,AT1G16930
Zm00001d000361	myb115	MYB-transcription factor 115	
Zm00001d000362		DNA-directed RNA polymerase V subunit 1	
Zm00001d000364		Actin-related protein 2/3 complex subunit 3	
Zm00001d000366		Actin-related protein 2/3 complex subunit 3	AT1G60430
Zm00001d000367		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
Zm00001d000371		Adenylate kinase 1 chloroplastic	
Zm00001d000373		Adenylate kinase 1 chloroplastic	AT2G39270
Zm00001d000377		Adenylate kinase 1 chloroplastic	
Zm00001d000379		ADP-ribosylation factor-like A1A	AT5G37680
Zm00001d000380		Encodes a protein whose expression is responsive to nematode infection.	AT5G37840,AT1G66480
Zm00001d000381		Putative ARM repeat-containing protein containing family protein	AT1G23030,AT1G71020
Zm00001d000384		Tetratricopeptide repeat-like superfamily protein	
Zm00001d000387	mab13	math-btb13	
Zm00001d000389		class III aminotransferase	
Zm00001d000390		Putative RING zinc finger domain superfamily protein	
Zm00001d000391		Probable protein phosphatase 2C 47	AT2G33700
Zm00001d000392		Embryo sac4	
Zm00001d000395		Inner membrane protein oxaA	
Zm00001d000396		Protein kinase superfamily protein	AT5G58950,AT3G46930
Zm00001d000398		Putative cyclin-A3-1	
Zm00001d000399	cps2	chloroplast protein synthesis2	AT2G28000
Zm00001d000400		Putative HLH DNA-binding domain superfamily protein	AT3G56220,AT2G40435
Zm00001d000401		FAD-dependent oxidoreductase family protein	
Zm00001d000402		myosin heavy chain-related	
Zm00001d000403		Protein binding protein	AT5G50380
Zm00001d000406	ctn4	chitinase4	AT2G43580,AT2G43590
Zm00001d000407	nhx9	Na+/H+ antiporter 9	AT5G35410
Zm00001d000408	IDP1984	EIN3-binding F-box protein 1	AT2G25490,AT5G25350
Zm00001d000409		Photosystem II reaction center PSB28 protein chloroplastic	AT4G28660
Zm00001d000410		RING-H2 finger protein ATL3C	
Zm00001d000412		hAT transposon superfamily protein	
Zm00001d000413		UDP-glycosyltransferase 90A1	
Zm00001d000414		Disease resistance protein RPM1	
Zm00001d000417		Photosystem Q(B) protein	ATCG00020
Zm00001d000418	endo1	endosperm specific protein1	
Zm00001d000419		HAD-superfamily hydrolase subfamily IG 5'-nucleotidase	
Zm00001d000424		Phytolongin Phyl1.1	AT4G10170,AT1G33475
Zm00001d000425		Embryogenesis transmembrane protein-like	
Zm00001d000428		Transmembrane 9 superfamily member 9	
Zm00001d000430	mgt1	magnesium transporter1	AT1G80900,AT1G16010
Zm00001d000431		DEAD-box ATP-dependent RNA helicase 51	
Zm00001d000432		pescadillo-related	AT5G14520
Zm00001d000434	nbcs9	nucleobase:cation symporter9	AT3G10960
Zm00001d000435		Pentatricopeptide repeat-containing protein	AT2G15980
Zm00001d000436		Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	
Zm00001d000437		Ankyrin repeat family protein	
Zm00001d000438		Type III polyketide synthase B	
Zm00001d000439		SNARE associated Golgi protein family	AT4G17790
Zm00001d000443		Putative WEB family protein  chloroplastic	
Zm00001d000445		Probable indole-3-pyruvate monooxygenase YUCCA11	
Zm00001d000447		OSJNBa0041A02.21 protein;  protein	
Zm00001d000449		C2H2 and C2HC zinc fingers superfamily protein	
Zm00001d000458	ofp3	OVATE-transcription factor 3	AT2G18500
Zm00001d000460		Protein trichome birefringence-like 1	
Zm00001d001763		Probable methyltransferase	AT4G24910
Zm00001d001765		Exocyst complex component EXO70A1	AT5G52340,AT5G03540,AT5G52350
Zm00001d001767	mab10	math-btb10	
Zm00001d001769		E3 ubiquitin-protein ligase PUB23	
Zm00001d001770		40S ribosomal protein S4-3	
Zm00001d001771		Eukaryotic aspartyl protease family protein	
Zm00001d001772		Protein YLS9	
Zm00001d001773		Pentatricopeptide repeat-containing protein	
Zm00001d001774		Probable CCR4-associated factor 1 homolog 11	
Zm00001d001775	ca3p2	CCAAT-HAP3-transcription factor 32	
Zm00001d001777		late embryogenesis abundant protein	
Zm00001d001779		Casparian strip membrane protein 4	
Zm00001d001780		CASP-like protein 1	AT4G00710,AT5G59010,AT1G63500,AT5G41260
Zm00001d001781		L-type lectin-domain containing receptor kinase IX.1	
Zm00001d001784	ahl9	AT-hook motif nuclear-localized protein homolog9	
Zm00001d001785	pco064147	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	AT4G11610
Zm00001d001786		Probable LRR receptor-like serine/threonine-protein kinase	AT1G63430,AT5G41180
Zm00001d001787	pco079129b	Pre-mRNA cleavage factor Im 25 kDa subunit 2	AT4G25550
Zm00001d001788		K(+) efflux antiporter 2 chloroplastic	AT4G00630,AT1G01790
Zm00001d001789	umc2246	Phosphomannomutase	AT2G45790
Zm00001d001790	atg4a	autophagy4a	AT2G44140,AT3G59950
Zm00001d001791	umc1419	Glucan endo-1%2C3-beta-glucosidase	AT5G24318
Zm00001d001792		RING/U-box superfamily protein	
Zm00001d001797		Protein MIS12 homolog	
Zm00001d001798	mis12b	minichromosome instability12b	AT4G27780,AT5G53470
Zm00001d001799	pco124429	partner of SLD five 1	AT1G80190
Zm00001d001800	cl11234_1	GDSL esterase/lipase CPRD49	AT3G11210
Zm00001d001802		GDSL esterase/lipase CPRD49	
Zm00001d001803	pco137413a	Plasma-membrane choline transporter family protein	AT3G15380
Zm00001d001804	mlo9	barley mlo defense gene homolog9	AT1G26700,AT5G53760
Zm00001d001806		DNA mismatch repair protein MutS type 2	AT1G65070
Zm00001d001808		Bacteria - 9; Fungi - 139; Metazoa - 155; Plants - 55; Viruses - 0; Other Eukaryotes - 117 (source: NCBI BLink).; Has 475 Blast hits to 467 proteins in 210 species: Archae - 0; CONTAINS InterPro DOMAIN/s: Bystin (InterPro:IPR007955)	AT1G31660
Zm00001d001809		RNA polymerase II transcription factor B subunit 2	AT4G17020
Zm00001d001811		Tetraspanin-19	
Zm00001d001812	raf1	Rubisco Assembly Factor 1	AT5G28500,AT3G04550
Zm00001d001813	pco116834	Protein kinase superfamily protein	
Zm00001d001814		Clathrin light chain 2	
Zm00001d001817		Probable polyol transporter 4	
Zm00001d001818		Probable polyol transporter 4	
Zm00001d001819		N-acetylglucosaminylphosphatidylinositol de-N-acetylase family protein	AT3G58130,AT2G27340
Zm00001d001820	pcr1	protochlorophyllide reductase1	
Zm00001d001823		Anthranilate synthase beta subunit 1 chloroplastic	
Zm00001d001824		Dof zinc finger protein DOF1.6	
Zm00001d001825		Transducin/WD40 repeat-like superfamily protein	
Zm00001d001827		Translation elongation factor EF1A/initiation factor IF2gamma family protein	AT5G10630
Zm00001d001828		Katanin p80 WD40 repeat-containing subunit B1 homolog	AT5G08390,AT5G23430
Zm00001d001829		OSJNBa0064G10.17 protein;  protein	
Zm00001d001830		Mediator of RNA polymerase II transcription subunit 9	AT1G55080
Zm00001d001831		Pyruvate kinase	AT5G63680,AT5G08570
Zm00001d001832		NDR1/HIN1-like 25	
Zm00001d001833		Protein ASPARTIC PROTEASE IN GUARD CELL 2	AT3G20015
Zm00001d001835		Protein ASPARTIC PROTEASE IN GUARD CELL 2	AT3G20015
Zm00001d001837	myb133	MYB-transcription factor 133	AT5G08520
Zm00001d001838	abi3	ABI3-VP1-transcription factor 3	
Zm00001d001842		Tetratricopeptide repeat (TPR)-like superfamily protein	
Zm00001d001843		Thioredoxin X chloroplastic	AT1G50320
Zm00001d001844		Plastid division protein CDP1 chloroplastic	AT3G19180
Zm00001d001846		Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	AT1G34130
Zm00001d001847	pco090813	NUMOD3 motif family protein expressed;  protein	AT1G53800
Zm00001d001848		Zinc finger C3HC4 type (RING finger) family protein	AT5G23110
Zm00001d001849	GRMZM2G105330	Probable acyl-activating enzyme 5 peroxisomal	AT5G16340,AT5G16370,AT1G75960
Zm00001d001850		Magnesium-chelatase subunit ChlH chloroplastic	
Zm00001d001852	umc2186	Gibberellin-regulated protein 2	
Zm00001d001855		DHHC zinc finger domain containing protein	AT3G18620
Zm00001d001856		Anamorsin homolog	AT5G18400
Zm00001d001857		light harvesting complex photosystem II subunit 6	AT1G15820
Zm00001d001858		BTB/POZ domain-containing protein	AT3G19850,AT1G50280
Zm00001d001859		Vacuolar protein sorting-associated protein 41 homolog	AT1G08190
Zm00001d001860		Haloacid dehalogenase-like hydrolase domain-containing protein	AT4G39970
Zm00001d001861		TPR domain containing protein	AT3G17670
Zm00001d001864	udg1	uracil-DNA glycosylase1	AT3G18630
Zm00001d001865	crr1	cytokinin response regulator1	
Zm00001d001866		DUF3755 family protein	
Zm00001d001869		Ubiquitin carboxyl-terminal hydrolase family protein	AT3G63090
Zm00001d001870		Peroxisome biogenesis protein 22	
Zm00001d001873		hydroxy methylglutaryl CoA reductase 1	
Zm00001d001875		Mediator of RNA polymerase II transcription subunit 36a	
Zm00001d001877		Phytosulfokine receptor 1	AT2G02220
Zm00001d001879	arftf3	ARF-transcription factor 3	AT5G37020
Zm00001d001880		Whole genome shotgun sequence of line PN40024 scaffold_63.assembly12x (Fragment)	
Zm00001d001881		Protein DJ-1 homolog D	AT3G02720
Zm00001d001882		Signal recognition particle 19 kDa protein	AT1G48160
Zm00001d001884		Trypsin family protein	AT2G35155,AT5G45030
Zm00001d001885		Adenylate kinase 1 chloroplastic	
Zm00001d001887		Adenylate kinase 1 chloroplastic	
Zm00001d001894	thx35	Trihelix-transcription factor 35	AT1G31310,AT2G35640
Zm00001d001895		Plant UBX domain-containing protein 7	AT1G14570
Zm00001d001896	cl25041_1a	Probable phytol kinase%2C chloroplastic	AT5G04490
Zm00001d001897		SEC-C motif-containing protein / OTU-like cysteine protease family protein	AT5G67170
Zm00001d001899	arpp2a-3	acidic ribosomal protein P2a-3	AT2G27710,AT2G27720
Zm00001d001900		Probable cysteine protease RD21B	
Zm00001d001901	pco072559	Reticulon-like protein B11	AT2G15280
Zm00001d001902		Carboxylesterase SOBER1	
Zm00001d001903		Carboxylesterase SOBER1	AT4G22300,AT4G22305
Zm00001d001905		OSJNBa0043A12.20 protein	
Zm00001d001906	IDP776	EH domain-containing protein 1	
Zm00001d001907		Ethylene-responsive transcription factor 7	
Zm00001d001908		Alternative oxidase	
Zm00001d001909		Alternative oxidase	AT4G22260
Zm00001d001910		 protein; Thioredoxin-like protein; OSJNBa0043A12.15 protein	AT5G50100
Zm00001d001911		ATP-dependent RNA helicase	
Zm00001d001912		Serine carboxypeptidase-like 51	
Zm00001d001913	uce4	ubiquitin conjugating enzyme4	AT5G53300
Zm00001d001914		Actin-related protein 8	AT5G56180
Zm00001d001917		SKP1-like protein 4	
Zm00001d001920		PIF1 helicase	
Zm00001d001922		ACT domain-containing protein ACR9	
Zm00001d001923		SKP1-like protein 4	
Zm00001d001924		KAR-UP oxidoreductase 1	AT3G60290,AT5G07480,AT2G44800
Zm00001d001927		Flavonol synthase/flavanone 3-hydroxylase	AT3G60290,AT5G07480,AT2G44800
Zm00001d001928	kcbp1	kinesin-like calmodulin binding protein1	AT5G65930
Zm00001d001929	pco118092	Transport protein particle (TRAPP) component	AT5G54750
Zm00001d001931	vq12	VQ motif-transcription factor12	
Zm00001d001932		Probable plastid-lipid-associated protein 13 chloroplastic	AT3G58010,AT2G42130
Zm00001d001933	c3h16	C3H-transcription factor 316	AT5G06770,AT3G12130
Zm00001d001935		Leucine--tRNA ligase cytoplasmic	AT1G09620
Zm00001d001936	glk16	G2-like-transcription factor 16	
Zm00001d001937		SWIB complex BAF60b domain-containing protein	
Zm00001d001939		Cell division protein FtsZ homolog 1 chloroplastic	AT5G55280
Zm00001d001940		Cox19 family protein (CHCH motif)	AT1G02160
Zm00001d001941	incw4	invertase cell wall4	
Zm00001d001943	incw7	invertase cell wall7	
Zm00001d001944	incw6	invertase cell wall6	
Zm00001d001945	arftf4	ARF-transcription factor 4	AT1G19850
Zm00001d001947		TLD-domain containing nucleolar protein	AT5G39590
Zm00001d001948	hb67	Homeobox-transcription factor 67	
Zm00001d001949		U11/U12 small nuclear ribonucleoprotein 25 kDa protein	AT3G07860
Zm00001d001951		PHD finger-like domain-containing protein 5A	AT1G07170,AT2G30000
Zm00001d001952		Zinc finger C-x8-C-x5-C-x3-H type family protein	AT1G19860
Zm00001d001953		Protein IQ-DOMAIN 32	AT1G19870
Zm00001d001957		NAC domain-containing protein 8	
Zm00001d001959		GTP cyclohydrolase I 1	AT3G07270
Zm00001d001960	fht1	flavanone 3-hydroxylase1	AT3G51240
Zm00001d001961		SAUR-like auxin-responsive protein family	
Zm00001d001962	pco141842	Ubiquitin-like superfamily protein	AT5G25270
Zm00001d001963		SAUR-like auxin-responsive protein family	
Zm00001d001964		SAUR-like auxin-responsive protein family	AT1G75590,AT5G10990,AT4G34750,AT1G19840
Zm00001d001965		Alpha-L RNA-binding motif/Ribosomal protein S4 family protein	
Zm00001d001966	pco082032	26S proteasome non-ATPase regulatory subunit 7 homolog A	AT5G05780,AT3G11270
Zm00001d001967		Mediator of RNA polymerase II transcription subunit 7a	AT5G03500,AT5G03220
Zm00001d001968		cyclin-related	AT1G70620
Zm00001d001970		Molybdopterin biosynthesis protein CNX1	
Zm00001d001973		Exosome complex component RRP4 homolog	AT1G03360
Zm00001d001974		Inositol-pentakisphosphate 2-kinase	AT1G59312,AT1G22100,AT1G58936,AT1G58643,AT5G42810
Zm00001d001976		Protein NRT1/ PTR FAMILY 2.13	
Zm00001d001977		Protein trichome birefringence-like 8	AT3G11570,AT5G06230
Zm00001d001978	pco067729a	MAP3K epsilon protein kinase 1	AT3G13530,AT3G07980
Zm00001d001979		Probable UDP-arabinopyranose mutase 5	AT5G16510
Zm00001d001980		Protein kinase-like	AT1G11390,AT1G61640
Zm00001d001982	ibh1	increased leaf inclination1-binding bhlh 1	AT2G43060
Zm00001d001983		Protein PELOTA 1	AT4G27650,AT3G58390
Zm00001d001984		Probable amino acid permease 7	
Zm00001d001987		adenosine deaminases;RNA binding;RNA binding;adenosine deaminases	AT1G01760
Zm00001d001988	prh16	putative protein phosphatase 2C 16	AT4G31750,AT5G10740,AT5G24940
Zm00001d001993		Probable leucine-rich repeat receptor-like serine/threonine-protein kinase	
Zm00001d001995		P-loop containing nucleoside triphosphate hydrolases superfamily protein	
Zm00001d001999		Galactose mutarotase-like superfamily protein	
Zm00001d002000	lox6	lipoxygenase6	
